Location,Text
Chicago ,"But we can pass it on. 

#GOPVotingBlue 

#GOPBetrayedAmerica 

#coronavirus  #impeachbarr #Resistance #VoteBlue2020 
#Resist #DoctorsSpeakUp #VoteBlueNoMatterWho #VoterSuppression #KAG2020 #Trump2020LandslideVictory #TrumpLiesAboutCoronavirus https://t.co/omJC3qabqJ"
"Ontario, Canada","WHEN will #DoctorsSpeakUp that vaccines harm and kill children?"" and; “Why won't #DoctorsSpeakUp that vaccines harm many of their patients?"" https://t.co/j9eChUjDj4"
FL,When will #DoctorsSpeakUp #DoctorsSpeakOut #DoctorSpeakUp #medtwitter #Nursing https://t.co/qQmg0HWgN3
FL,"When #DoctorsSpeakUp they expose this cartel, when they side with these characters, stay away. That is not a patient advocate and not in health care for the right reasons. https://t.co/VuuS3RpYNP"
Chicago ,"Remember @senatemajldr @McConnellPress the DO Nothing Democrats as @realDonaldTrump called them, did this. 

#GOPVotingBlue 

#GOPBetrayedAmerica 

#coronavirus  #impeachbarr #Resistance #VoteBlue2020 
#Resist #DoctorsSpeakUp #VoteBlueNoMatterWho https://t.co/qWff9fpccj"
,"You can thank the likes of @DrPanMD, @PeterHotez, @gorskon, Dr. Zubin Damania and a host of other fearmongering zealots for this.
They've dedicated their careers to whipping people into a bigoted frenzy over anyone who dares cough in public.
This is their legacy. #DoctorsSpeakUp https://t.co/5L0v4xtJJw"
,"@whatchidid @DrPanMD You can thank the likes of @DrPanMD, @PeterHotez, @gorskon, Dr. Zubin Damania and a host of other fearmongering zealots for this.
They've dedicated their careers to whipping people into a bigoted frenzy over anyone who dares cough in public.
This is their legacy. #DoctorsSpeakUp"
Chicago ,"When the government doesn't care. 

#GOPVotingBlue 

#GOPBetrayedAmerica 

#coronavirus  #impeachbarr #Resistance #VoteBlue2020 
#Resist #DoctorsSpeakUp #VoteBlueNoMatterWho #Trump2020LandslideVictory #KAG2020 https://t.co/sSjXXM4bJ6"
Chicago ,"@realDonaldTrump said people were out spending money. 

#GOPVotingBlue 

#GOPBetrayedAmerica 

#coronavirus  #impeachbarr #Resistance #VoteBlue2020 
#Resist #DoctorsSpeakUp #VoteBlueNoMatterWho #KAG2020 #Trump2020LandslideVictory https://t.co/LB6vsCyfqI"
,"@TulsiGabbard Great talk! @TulsiGabbard consider doing a podcast with @ZDoggMD regarding the state of healthcare in America &amp; creating a better system. Could talk VA, Samoan Measles, Health 3.0, COVID-19, #DoctorsSpeakUp , M4A, etc. 

Might not agree on everything, but would be a great talk! https://t.co/JAl3lBPU39"
,The science is horrible. If doctors were doing a good job they would use correlation with cause and effect. They would have called patients and asked them how their child’s reactions are and they would document and they would also report to vaers.  #DoctorsSpeakUp https://t.co/m81wX6RVsI
"Fort Worth, TX","I am so disappointed in journalism. They have totally discarded the ethics that made up the bedrock of the industry. So many one-sided stories, the side their advertisers want you to hear. Total disregard for the whole story. What happened to the Code of Ethics? #DoctorsSpeakUp"
